city,aqi,dominant_pollutant,pm25,pm10,no2,o3,co,so2,recorded_at,fetched_at,is_stale
Chennai,80,pm25,80,51,5.2,12.3,9.1,2.3,2026-06-02 12:00:00,2026-06-02 13:13:16,False
Kolkata,77,pm25,77,44,11.6,13.3,2.9,3.2,2026-06-02 12:00:00,2026-06-02 13:13:21,False
Mumbai,85,pm25,85,50,2.5,11.6,2.9,11.9,2026-06-03 12:00:00,2026-06-03 12:40:48,False
Delhi,92,pm25,92,87,9.6,28.6,1.5,13.8,2026-06-03 12:00:00,2026-06-03 12:40:50,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-06-03 12:40:55,True
Chennai,74,pm25,74,46,5.0,13.4,9.9,2.0,2026-06-03 12:00:00,2026-06-03 12:40:57,False
Kolkata,84,pm25,84,53,9.3,14.8,3.8,6.4,2026-06-03 12:00:00,2026-06-03 12:41:01,False
Mumbai,80,pm25,80,47,2.5,11.6,2.9,11.9,2026-06-03 23:00:00,2026-06-03 23:10:02,False
Delhi,157,pm25,157,126,42.5,6.7,5.6,6.5,2026-06-03 23:00:00,2026-06-03 23:10:04,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-06-03 23:10:07,True
Chennai,77,pm25,77,48,5.1,12.1,9.4,2.3,2026-06-03 23:00:00,2026-06-03 23:10:10,False
Kolkata,96,pm25,96,56,7.2,6.9,3.2,3.0,2026-06-03 22:00:00,2026-06-03 23:10:13,False
Mumbai,58,pm25,58,28,2.4,11.7,2.8,11.9,2026-06-04 10:00:00,2026-06-04 10:14:02,False
Delhi,114,pm25,114,96,14.4,17.1,2.0,5.7,2026-06-04 10:00:00,2026-06-04 10:14:04,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-06-04 10:14:07,True
Chennai,71,pm25,71,43,4.7,13.6,9.2,2.4,2026-06-04 10:00:00,2026-06-04 10:14:10,False
Kolkata,75,pm25,75,47,10.7,12.1,4.2,4.0,2026-06-04 10:00:00,2026-06-04 10:14:12,False
Mumbai,109,pm25,109,61,2.2,11.6,2.3,11.9,2026-06-04 19:00:00,2026-06-04 19:08:02,False
Delhi,78,pm25,78,47,39.6,3.3,5.6,3.5,2026-06-04 19:00:00,2026-06-04 19:08:05,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-06-04 19:08:08,True
Chennai,73,pm25,73,45,5.6,12.1,9.4,1.8,2026-06-04 19:00:00,2026-06-04 19:08:10,False
Kolkata,92,pm25,92,52,7.6,11.3,3.5,2.7,2026-06-04 18:00:00,2026-06-04 19:08:12,False
Mumbai,140,pm25,140,73,2.4,11.5,2.8,11.8,2026-06-05 01:00:00,2026-06-06 15:04:23,True
Delhi,129,pm10,85,129,5.0,19.7,3.7,2.6,2026-06-06 15:00:00,2026-06-06 15:04:26,False
Pune,59,pm25,59,26,3.2,27.7,3.7,6.1,2021-01-01 02:00:00,2026-06-06 15:04:28,True
Chennai,73,pm25,73,45,5.4,12.3,9.9,2.4,2026-06-06 14:00:00,2026-06-06 15:04:30,False
Kolkata,86,pm25,86,48,12.6,8.6,5.2,5.1,2026-06-06 14:00:00,2026-06-06 15:04:33,False
