city,recorded_at,hour,day_of_week,day_of_week_name,month,season,is_daytime,is_weekend,aqi,aqi_category,dominant_pollutant,pm25,pm10,no2,o3,co,so2,temp_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_gust_ms,wind_cardinal,visibility_km,weather_main,cloud_cover_pct
Delhi,2026-06-13 15:00:00,15,5,Saturday,6,Monsoon,1,1,82,Moderate,pm10,82,82,12.0,30.2,2.8,7.4,40.32,24.12,19,1000,3.32,5.07,NW,10.0,Clear,0
Chennai,2026-06-13 15:00:00,15,5,Saturday,6,Monsoon,1,1,79,Moderate,pm25,79,50,4.7,12.5,9.4,2.3,32.89,26.29,67,1005,0.89,2.24,S,10.0,Clouds,100
Kolkata,2026-06-13 15:00:00,15,5,Saturday,6,Monsoon,1,1,93,Moderate,pm25,93,52,10.2,9.9,3.3,6.3,36.23,25.43,46,1001,4.34,3.72,S,10.0,Clouds,82
Mumbai,2026-06-13 21:00:00,21,5,Saturday,6,Monsoon,0,1,90,Moderate,pm25,90,53,2.3,11.6,2.5,11.9,30.93,25.53,73,1009,7.49,7.8,W,10.0,Clouds,55
Delhi,2026-06-13 21:00:00,21,5,Saturday,6,Monsoon,0,1,95,Moderate,pm10,48,95,47.2,5.8,6.3,5.3,35.09,21.09,30,1002,3.18,4.06,SW,10.0,Clear,0
Chennai,2026-06-13 21:00:00,21,5,Saturday,6,Monsoon,0,1,77,Moderate,pm25,77,49,5.1,12.3,10.3,2.1,31.04,26.24,76,1008,3.58,3.58,SW,10.0,Clouds,100
Kolkata,2026-06-13 21:00:00,21,5,Saturday,6,Monsoon,0,1,101,Unhealthy for Sensitive Groups,pm25,101,46,11.5,7.7,3.9,6.4,30.42,24.42,70,1004,5.8,8.76,S,10.0,Clouds,28
Mumbai,2026-06-14 13:00:00,13,6,Sunday,6,Monsoon,1,1,122,Unhealthy for Sensitive Groups,pm25,122,66,2.2,11.6,2.2,11.9,31.2,24.6,67,1009,6.06,6.81,W,10.0,Clear,3
Delhi,2026-06-14 13:00:00,13,6,Sunday,6,Monsoon,1,1,80,Moderate,pm10,74,80,4.7,18.9,1.9,3.7,39.45,23.85,22,1001,1.82,5.04,SW,10.0,Clear,0
Chennai,2026-06-14 13:00:00,13,6,Sunday,6,Monsoon,1,1,78,Moderate,pm25,78,50,5.2,12.7,11.7,2.2,35.47,25.87,52,1005,2.68,3.58,S,10.0,Clouds,90
Kolkata,2026-06-14 12:00:00,12,6,Sunday,6,Monsoon,1,1,109,Unhealthy for Sensitive Groups,pm25,109,53,8.9,10.4,3.4,4.3,37.51,25.51,40,1001,2.98,3.26,SW,10.0,Clouds,49
Mumbai,2026-06-14 20:00:00,20,6,Sunday,6,Monsoon,0,1,97,Moderate,pm25,97,56,2.5,11.5,2.9,11.9,30.75,24.95,71,1009,6.53,7.65,W,10.0,Clouds,42
Delhi,2026-06-14 20:00:00,20,6,Sunday,6,Monsoon,0,1,113,Unhealthy for Sensitive Groups,pm10,95,113,26.1,12.9,4.1,3.9,39.36,23.56,21,999,3.86,4.95,W,10.0,Clear,0
Chennai,2026-06-14 20:00:00,20,6,Sunday,6,Monsoon,0,1,73,Moderate,pm25,73,45,4.7,13.4,10.2,2.1,30.84,25.24,72,1007,2.68,3.13,S,10.0,Clouds,95
Kolkata,2026-06-14 20:00:00,20,6,Sunday,6,Monsoon,0,1,88,Moderate,pm25,88,51,6.7,9.5,2.4,4.2,28.24,21.84,68,1002,5.33,9.47,SW,10.0,Clouds,100
Mumbai,2026-06-15 10:00:00,10,0,Monday,6,Monsoon,1,0,76,Moderate,pm25,76,43,2.3,11.7,2.6,11.9,31.24,24.64,67,1010,6.36,6.25,W,10.0,Clouds,93
Delhi,2026-06-15 10:00:00,10,0,Monday,6,Monsoon,1,0,120,Unhealthy for Sensitive Groups,pm10,78,120,12.8,7.1,2.5,5.3,36.91,21.91,25,1003,2.53,3.55,W,10.0,Clouds,43
Chennai,2026-06-15 10:00:00,10,0,Monday,6,Monsoon,1,0,76,Moderate,pm25,76,48,5.3,13.7,9.1,2.0,35.43,26.43,55,1007,1.79,3.13,SE,10.0,Clouds,98
Kolkata,2026-06-15 10:00:00,10,0,Monday,6,Monsoon,1,0,88,Moderate,pm25,88,49,13.9,9.5,3.1,5.9,36.42,24.82,42,1003,3.05,2.64,S,10.0,Clouds,26
Mumbai,2026-06-15 23:00:00,23,0,Monday,6,Monsoon,0,0,60,Moderate,pm25,60,30,2.4,11.7,2.8,11.9,30.81,24.01,66,1009,6.38,6.26,W,10.0,Clouds,62
Delhi,2026-06-15 23:00:00,23,0,Monday,6,Monsoon,0,0,103,Unhealthy for Sensitive Groups,pm25,103,83,38.0,2.1,7.3,4.3,32.44,19.44,35,1004,4.12,5.03,S,10.0,Clouds,94
Chennai,2026-06-15 23:00:00,23,0,Monday,6,Monsoon,0,0,72,Moderate,pm25,72,44,4.9,12.6,10.1,2.1,31.92,25.92,70,1006,0.89,0.89,S,10.0,Clouds,100
Kolkata,2026-06-15 23:00:00,23,0,Monday,6,Monsoon,0,0,77,Moderate,pm25,77,50,6.1,9.0,2.0,3.2,30.08,25.08,75,1004,5.07,7.52,S,10.0,Clear,9
Mumbai,2026-06-16 09:00:00,9,1,Tuesday,6,Monsoon,1,0,87,Moderate,pm25,87,51,2.2,11.6,2.3,11.9,31.36,23.76,62,1010,4.26,4.59,W,10.0,Clouds,84
Delhi,2026-06-16 09:00:00,9,1,Tuesday,6,Monsoon,1,0,158,Unhealthy,pm25,158,127,21.0,7.1,2.8,9.2,35.9,21.7,29,1005,2.63,3.34,W,10.0,Clear,1
Chennai,2026-06-16 09:00:00,9,1,Tuesday,6,Monsoon,1,0,76,Moderate,pm25,76,48,5.4,12.8,8.4,2.3,35.77,26.37,53,1007,0.89,2.68,N,10.0,Clouds,100
Kolkata,2026-06-16 09:00:00,9,1,Tuesday,6,Monsoon,1,0,74,Moderate,pm25,74,45,8.0,10.2,2.8,3.8,35.51,24.91,47,1005,3.74,3.76,S,10.0,Clouds,23
Mumbai,2026-06-17 10:00:00,10,2,Wednesday,6,Monsoon,1,0,65,Moderate,pm25,65,34,2.3,11.6,2.5,11.9,30.9,23.1,61,1010,5.83,5.42,SW,10.0,Clouds,63
Delhi,2026-06-17 11:00:00,11,2,Wednesday,6,Monsoon,1,0,154,Unhealthy,pm25,154,99,8.3,19.8,3.1,13.6,37.47,23.07,28,1004,2.52,2.91,W,10.0,Clear,10
Chennai,2026-06-17 10:00:00,10,2,Wednesday,6,Monsoon,1,0,74,Moderate,pm25,74,46,4.9,14.2,10.1,2.5,34.85,26.85,60,1007,1.34,3.13,SW,10.0,Clouds,95
Kolkata,2026-06-17 10:00:00,10,2,Wednesday,6,Monsoon,1,0,67,Moderate,pm25,67,41,7.2,8.5,2.9,3.1,37.91,26.11,41,1004,4.45,3.54,S,10.0,Clear,6
Mumbai,2026-06-17 18:00:00,18,2,Wednesday,6,Monsoon,1,0,111,Unhealthy for Sensitive Groups,pm25,111,62,2.3,11.6,2.5,11.9,30.77,23.77,65,1008,6.08,6.49,W,10.0,Clouds,11
Delhi,2026-06-17 18:00:00,18,2,Wednesday,6,Monsoon,1,0,79,Moderate,pm10,75,79,7.7,22.9,1.9,7.7,39.09,23.49,22,999,3.14,4.46,NW,10.0,Clear,4
Chennai,2026-06-17 18:00:00,18,2,Wednesday,6,Monsoon,1,0,75,Moderate,pm25,75,47,5.4,12.9,9.0,2.0,31.66,27.06,77,1004,1.79,2.24,S,10.0,Clouds,99
Kolkata,2026-06-17 18:00:00,18,2,Wednesday,6,Monsoon,1,0,89,Moderate,pm25,89,54,7.3,8.0,3.0,5.7,32.23,24.63,62,1002,7.02,8.91,S,10.0,Clouds,100
Mumbai,2026-06-19 16:00:00,16,4,Friday,6,Monsoon,1,0,115,Unhealthy for Sensitive Groups,pm25,115,63,2.2,11.7,2.3,11.9,30.65,23.85,66,1008,5.41,5.41,SW,10.0,Clouds,23
Delhi,2026-06-19 18:00:00,18,4,Friday,6,Monsoon,1,0,89,Moderate,pm10,65,89,5.5,16.5,2.8,7.1,40.45,24.85,22,999,5.42,3.52,W,10.0,Clear,9
Chennai,2026-06-19 16:00:00,16,4,Friday,6,Monsoon,1,0,77,Moderate,pm25,77,48,5.1,11.8,9.3,2.4,32.73,26.93,71,1006,1.34,2.68,S,10.0,Clouds,100
Kolkata,2026-06-19 16:00:00,16,4,Friday,6,Monsoon,1,0,73,Moderate,pm25,73,29,9.5,8.3,4.3,3.4,32.47,24.67,61,1002,6.39,8.28,S,10.0,Clouds,100
Mumbai,2026-06-21 11:00:00,11,6,Sunday,6,Monsoon,1,1,84,Moderate,pm25,84,50,2.4,11.5,2.7,11.9,30.54,23.94,67,1009,3.9,3.58,SW,10.0,Clouds,11
Delhi,2026-06-21 11:00:00,11,6,Sunday,6,Monsoon,1,1,52,Moderate,pm10,26,52,4.7,8.1,0.1,3.8,38.85,24.05,26,1002,3.0,3.49,NW,10.0,Clear,3
Chennai,2026-06-21 11:00:00,11,6,Sunday,6,Monsoon,1,1,76,Moderate,pm25,76,48,4.3,12.5,7.1,2.6,35.7,27.7,60,1008,2.2,2.97,S,10.0,Clouds,100
Kolkata,2026-06-21 11:00:00,11,6,Sunday,6,Monsoon,1,1,85,Moderate,pm25,85,50,8.8,9.1,3.2,3.2,37.27,26.07,44,1003,5.31,5.44,SW,10.0,Rain,100
Mumbai,2026-06-21 18:00:00,18,6,Sunday,6,Monsoon,1,1,98,Moderate,pm25,98,57,2.1,11.5,2.2,11.9,30.75,24.75,70,1006,5.94,5.88,W,10.0,Clouds,51
Delhi,2026-06-21 18:00:00,18,6,Sunday,6,Monsoon,1,1,65,Moderate,pm10,38,65,4.5,15.2,2.1,6.2,41.07,24.67,18,997,4.99,4.69,W,10.0,Clouds,42
Chennai,2026-06-21 18:00:00,18,6,Sunday,6,Monsoon,1,1,76,Moderate,pm25,76,48,5.4,14.3,10.2,2.0,31.09,25.89,74,1007,1.79,2.68,SW,10.0,Clouds,100
Kolkata,2026-06-21 18:00:00,18,6,Sunday,6,Monsoon,1,1,55,Moderate,pm25,55,31,8.6,6.8,3.5,3.8,31.6,24.6,65,1002,7.99,11.03,S,10.0,Clouds,100
Mumbai,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,27,Good,pm25,27,12,2.5,11.7,3.2,11.9,27.86,23.66,79,1007,6.39,5.8,S,10.0,Rain,100
Delhi,2026-06-23 11:00:00,11,1,Tuesday,6,Monsoon,1,0,154,Unhealthy,pm25,154,117,3.2,20.0,1.1,14.2,39.43,24.03,23,1000,3.36,4.94,W,10.0,Clear,0
Chennai,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,76,Moderate,pm25,76,48,4.6,12.1,9.8,2.0,35.59,25.99,52,1006,2.68,3.58,SW,10.0,Clouds,100
Kolkata,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,109,Unhealthy for Sensitive Groups,pm25,109,59,17.3,7.9,5.3,3.8,38.72,26.12,37,1000,6.14,4.74,S,10.0,Clouds,96
Mumbai,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,27,Good,pm25,27,12,2.5,11.7,3.2,11.9,27.67,23.67,80,1005,5.52,6.18,W,3.56,Clouds,100
Delhi,2026-06-23 17:00:00,17,1,Tuesday,6,Monsoon,1,0,147,Unhealthy for Sensitive Groups,pm10,13,147,16.9,6.0,3.4,4.1,41.0,24.4,17,996,3.82,5.22,NW,10.0,Clouds,33
Chennai,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,76,Moderate,pm25,76,48,4.6,12.1,9.8,2.0,32.75,26.35,68,1005,1.79,2.68,E,10.0,Clouds,94
Kolkata,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,109,Unhealthy for Sensitive Groups,pm25,109,59,17.3,7.9,5.3,3.8,32.92,23.72,54,999,5.18,6.02,S,10.0,Rain,99
Mumbai,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,27,Good,pm25,27,12,2.5,11.7,3.2,11.9,26.97,23.57,83,1007,5.77,7.4,W,4.14,Rain,100
Delhi,2026-06-24 08:00:00,8,2,Wednesday,6,Monsoon,1,0,92,Moderate,pm10,78,92,17.9,2.7,3.9,3.7,35.58,21.58,30,1001,0.99,1.28,W,10.0,Clear,2
Chennai,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,76,Moderate,pm25,76,48,4.6,12.1,9.8,2.0,30.62,23.02,62,1008,1.34,1.34,S,10.0,Clouds,99
Kolkata,2026-06-23 10:00:00,10,1,Tuesday,6,Monsoon,1,0,109,Unhealthy for Sensitive Groups,pm25,109,59,17.3,7.9,5.3,3.8,34.74,23.54,44,1002,5.8,6.91,SW,10.0,Clouds,96
Delhi,2026-06-24 12:00:00,12,2,Wednesday,6,Monsoon,1,0,67,Moderate,pm10,34,67,14.5,14.5,2.5,4.9,39.54,24.34,24,1000,1.83,3.27,W,10.0,Clear,0
